TOW_BLOCK,TOW_PAIR,EXPERIMENTAL_TOW_TYPE,CRUISE,VESSEL,HAUL,TOW_TYPE
26,26,5,199801,88,441,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
27,64,2,199801,88,34,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
27,27,5,199801,89,440,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
27,27,4,199801,89,441,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
27,64,3,199801,88,442,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
28,65,2,199801,89,23,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
28,65,3,199801,89,442,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
28,28,4,199801,88,443,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
28,28,5,199801,88,444,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
29,66,2,199801,88,35,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
29,29,5,199801,89,443,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
29,29,4,199801,89,444,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
29,66,3,199801,88,445,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
30,67,2,199801,89,24,STANDARD SURVEY TOW PAIRED W/ 15 MIN RKC AREA TOW
30,67,3,199801,89,445,15 MIN EXPT TOW AT CENTER IN RKC EXPT AREA
30,30,4,199801,88,446,15 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
30,30,5,199801,88,447,30 MIN EXPT TOW ON BORDER IN RKC EXPT AREA
31,68,6,199801,89,59,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
31,31,6,199801,88,64,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
31,31,7,199801,88,501,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
31,68,7,199801,89,501,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
32,69,6,199801,89,74,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
32,32,6,199801,88,79,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
32,32,7,199801,88,502,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
32,69,7,199801,89,502,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
33,70,6,199801,89,79,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
33,33,6,199801,88,93,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
33,33,7,199801,88,503,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
33,70,7,199801,89,503,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
34,71,6,199801,88,104,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
34,34,6,199801,89,107,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
34,71,7,199801,88,504,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
34,34,7,199801,89,504,'15 MIN EXPT TOW: ASSOCIATED WITH SURVEY OR UNDERBAG EXPERIMENT.
35,72,6,199801,88,114,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
35,35,6,199801,89,146,STANDARD SURVEY TOW PAIRED W/ 15 MIN OPILIO AREA TOW
